audio	condition	item	stimulus	answer
1_1_fill	M_Pl	fill	В кабинете восемь шкафов у окна битком набиты бумагами.	0
2_1_exp	M_Sg	exp	"Ужасно смешная у этого клоуна шутка в представлении, надо запомнить."	0
3_1_exp	NM_Pl	exp	"недостаточно большая в этом городе парковки в центре, на всех мест не хватит."	1
4_1_fill	M_Pauc	fill	В небе три самолета яркого цвета летели на север.	0
5_1_exp	M_Pl	exp	"Удивительно плохие у Мишкиного сына застежки на куртке, вот он и бегает нараспашку."	0
6_1_fill	NM_Pauc	fill	В книжном два романов о гангстерах продавались без наценки.	1
7_1_fill	NM_Pl	fill	На площади восемь магазина рядом с музеем торговали местными сувенирами.	1
8_1_exp	NM_Sg	exp	"Совершенно косые у тебя на свитере полоска посередине, так и должно быть?"	1
9_1_exp	M_Sg	exp	"Явно неделовая у нашего начальника поездка в Париж, очень подозрительно."	0
10_1_fill	NM_Pauc	fill	В городе два заводов у реки сбрасывают в нее отходы.	1
11_1_exp	NM_Pl	exp	"на редкость простая у третьего класса задачки по математике, надо усложнить."	1
12_1_fill	M_Pl	fill	В магазине семь чайников из Китая стоят дороже остальных	0
13_1_fill	M_Pauc	fill	На конкурсе три театра юного зрителя получили главные награды.	0
14_1_exp	M_Pl	exp	"Совершенно пустые у Сережи дома полки на стене,  куда делись все книги?"	0
15_1_exp	NM_Sg	exp	"Абсолютно любые к этому пиджаку рубашка лучше, чем свитер."	1
16_1_fill	M_Pl	fill	В музее пять портретов прошлого века были украдены строителями.	0
17_1_exp	M_Sg	exp	"чересчур дорогая у вашего мэра квартира в центре, откуда у него столько денег?"	0
18_1_fill	NM_Pl	fill	На карте пять острова в океане были помечены красным.	1
19_1_fill	NM_Pauc	fill	В поезде четыре проводников в форме следят за порядком.	1
20_1_exp	NM_Pl	exp	"Всегда густая у этой фирмы краски для стен, удобно красить!"	1
21_1_exp	M_Pl	exp	"Невозможно худые у этого больного руки на фотографии, такого не может быть!"	0
22_1_fill	NM_Pl	fill	На стадионе восемь парня в футболках бегают уже час.	1
23_1_exp	NM_Sg	exp	"Очень тупые у нашего соседа лопата на даче, ничего не вскопаешь."	1
24_1_fill	M_Pauc	fill	В гостинице два гостя из Америки жаловались на обслуживание.	0
25_1_fill	M_Pl	fill	В деревне пять домов у озера выставлены на продажу.	0
26_1_exp	M_Sg	exp	"Страшно крутая у Марины во дворе горка для детей, маленьким опасно."	0
27_1_exp	NM_Pl	exp	Невероятно дурная у Наташиного брата привычки с детства: собираться в последний момент.	1
28_1_fill	M_Pauc	fill	В начале года три сотрудника из бухгалтерии были уволены без предупреждения.	0
29_1_exp	M_Pl	exp	"совсем сухие из-за жары у вас ромашки в саду, уже не спасти."	0
30_1_fill	NM_Pauc	fill	На собрании четыре политиков из области выступили с предложением.	1
31_1_fill	NM_Pl	fill	В телепрограмме пять американца из Техаса победили на конкурсе.	1
32_1_exp	NM_Sg	exp	"Ярко голубые перед входом в театр афиша спектакля, сразу заметишь."	1
33_1_exp	M_Sg	exp	"не совсем типовая возле нашего дома новостройка с гаражом, наверное, удобно."	0
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
